locus_tag	ftype	length_bp	gene	EC_number	COG	product
PJIMHBMA_00101	CDS	672				unannotated protein
PJIMHBMA_00102	gene	177				
PJIMHBMA_00102	CDS	177				unannotated protein
PJIMHBMA_00103	gene	954				
PJIMHBMA_00103	CDS	954				unannotated protein
PJIMHBMA_00104	gene	465				
PJIMHBMA_00104	CDS	465				unannotated protein
PJIMHBMA_00105	gene	411				
PJIMHBMA_00105	CDS	411				unannotated protein
PJIMHBMA_00106	gene	948				
PJIMHBMA_00106	CDS	948				unannotated protein
PJIMHBMA_00107	gene	360				
PJIMHBMA_00107	CDS	360				unannotated protein
PJIMHBMA_00108	gene	204				
PJIMHBMA_00108	CDS	204				unannotated protein
PJIMHBMA_00109	gene	597				
PJIMHBMA_00109	CDS	597				unannotated protein
PJIMHBMA_00110	gene	1326				
PJIMHBMA_00110	CDS	1326				unannotated protein
PJIMHBMA_00111	gene	756				
PJIMHBMA_00111	CDS	756				unannotated protein
PJIMHBMA_00112	gene	561				
PJIMHBMA_00112	CDS	561				unannotated protein
PJIMHBMA_00113	gene	948				
PJIMHBMA_00113	CDS	948				unannotated protein
PJIMHBMA_00114	gene	462				
PJIMHBMA_00114	CDS	462				unannotated protein
PJIMHBMA_00115	gene	348				
PJIMHBMA_00115	CDS	348				unannotated protein
PJIMHBMA_00116	gene	279				
PJIMHBMA_00116	CDS	279				unannotated protein
PJIMHBMA_00117	gene	372				
PJIMHBMA_00117	CDS	372				unannotated protein
PJIMHBMA_00118	gene	633				
PJIMHBMA_00118	CDS	633				unannotated protein
PJIMHBMA_00119	gene	297				
PJIMHBMA_00119	CDS	297				unannotated protein
PJIMHBMA_00120	gene	288				
PJIMHBMA_00120	CDS	288				unannotated protein
