locus_tag	ftype	length_bp	gene	EC_number	COG	product
FJJNNHDD_00076	CDS	693				unannotated protein
FJJNNHDD_00077	gene	372				
FJJNNHDD_00077	CDS	372				unannotated protein
FJJNNHDD_00078	gene	210				
FJJNNHDD_00078	CDS	210				unannotated protein
FJJNNHDD_00079	gene	222				
FJJNNHDD_00079	CDS	222				unannotated protein
FJJNNHDD_00080	gene	276				
FJJNNHDD_00080	CDS	276				unannotated protein
FJJNNHDD_00081	gene	597				
FJJNNHDD_00081	CDS	597				unannotated protein
FJJNNHDD_00082	gene	165				
FJJNNHDD_00082	CDS	165				unannotated protein
FJJNNHDD_00083	gene	831				
FJJNNHDD_00083	CDS	831				unannotated protein
FJJNNHDD_00084	gene	144				
FJJNNHDD_00084	CDS	144				unannotated protein
FJJNNHDD_00085	gene	219				
FJJNNHDD_00085	CDS	219				unannotated protein
FJJNNHDD_00086	gene	861				
FJJNNHDD_00086	CDS	861				unannotated protein
FJJNNHDD_00087	gene	792				
FJJNNHDD_00087	CDS	792				unannotated protein
FJJNNHDD_00088	gene	399				
FJJNNHDD_00088	CDS	399				unannotated protein
FJJNNHDD_00089	gene	336				
FJJNNHDD_00089	CDS	336				unannotated protein
FJJNNHDD_00090	gene	261				
FJJNNHDD_00090	CDS	261				unannotated protein
FJJNNHDD_00091	gene	1191				
FJJNNHDD_00091	CDS	1191				unannotated protein
FJJNNHDD_00092	gene	327				
FJJNNHDD_00092	CDS	327				unannotated protein
FJJNNHDD_00093	gene	300				
FJJNNHDD_00093	CDS	300				unannotated protein
FJJNNHDD_00094	gene	303				
FJJNNHDD_00094	CDS	303				unannotated protein
FJJNNHDD_00095	gene	390				
FJJNNHDD_00095	CDS	390				unannotated protein
FJJNNHDD_00096	gene	432				
FJJNNHDD_00096	CDS	432				unannotated protein
FJJNNHDD_00097	gene	522				
FJJNNHDD_00097	CDS	522				unannotated protein
FJJNNHDD_00098	gene	993				
FJJNNHDD_00098	CDS	993				unannotated protein
FJJNNHDD_00099	gene	201				
FJJNNHDD_00099	CDS	201				unannotated protein
FJJNNHDD_00100	gene	2622				
FJJNNHDD_00100	CDS	2622				unannotated protein
FJJNNHDD_00101	gene	462				
FJJNNHDD_00101	CDS	462				unannotated protein
FJJNNHDD_00102	gene	477				
FJJNNHDD_00102	CDS	477				unannotated protein
FJJNNHDD_00103	gene	741				
FJJNNHDD_00103	CDS	741				unannotated protein
FJJNNHDD_00104	gene	879				
FJJNNHDD_00104	CDS	879				unannotated protein
FJJNNHDD_00105	gene	207				
FJJNNHDD_00105	CDS	207				unannotated protein
FJJNNHDD_00106	gene	504				
FJJNNHDD_00106	CDS	504				unannotated protein
FJJNNHDD_00107	gene	576				
FJJNNHDD_00107	CDS	576				unannotated protein
FJJNNHDD_00108	gene	111				
FJJNNHDD_00108	CDS	111				unannotated protein
FJJNNHDD_00109	gene	270				
FJJNNHDD_00109	CDS	270				unannotated protein
FJJNNHDD_00110	gene	183				
FJJNNHDD_00110	CDS	183				unannotated protein
FJJNNHDD_00111	gene	312				
FJJNNHDD_00111	CDS	312				unannotated protein
FJJNNHDD_00112	gene	312				
FJJNNHDD_00112	CDS	312				unannotated protein
FJJNNHDD_00113	gene	354				
FJJNNHDD_00113	CDS	354				unannotated protein
FJJNNHDD_00114	gene	240				
FJJNNHDD_00114	CDS	240				unannotated protein
FJJNNHDD_00115	gene	693				
FJJNNHDD_00115	CDS	693				unannotated protein
FJJNNHDD_00116	gene	372				
FJJNNHDD_00116	CDS	372				unannotated protein
FJJNNHDD_00117	gene	210				
FJJNNHDD_00117	CDS	210				unannotated protein
FJJNNHDD_00118	gene	222				
FJJNNHDD_00118	CDS	222				unannotated protein
FJJNNHDD_00119	gene	276				
FJJNNHDD_00119	CDS	276				unannotated protein
FJJNNHDD_00120	gene	597				
FJJNNHDD_00120	CDS	597				unannotated protein
FJJNNHDD_00121	gene	165				
FJJNNHDD_00121	CDS	165				unannotated protein
FJJNNHDD_00122	gene	864				
FJJNNHDD_00122	CDS	864				unannotated protein
FJJNNHDD_00123	gene	144				
FJJNNHDD_00123	CDS	144				unannotated protein
FJJNNHDD_00124	gene	219				
FJJNNHDD_00124	CDS	219				unannotated protein
FJJNNHDD_00125	gene	282				
FJJNNHDD_00125	CDS	282				unannotated protein
FJJNNHDD_00126	gene	117				
FJJNNHDD_00126	CDS	117				unannotated protein
FJJNNHDD_00127	gene	669				
FJJNNHDD_00127	CDS	669				unannotated protein
FJJNNHDD_00128	gene	264				
FJJNNHDD_00128	CDS	264				unannotated protein
FJJNNHDD_00129	gene	846				
FJJNNHDD_00129	CDS	846				unannotated protein
FJJNNHDD_00130	gene	171				
FJJNNHDD_00130	CDS	171				unannotated protein
FJJNNHDD_00131	gene	276				
FJJNNHDD_00131	CDS	276				unannotated protein
FJJNNHDD_00132	gene	879				
FJJNNHDD_00132	CDS	879				unannotated protein
FJJNNHDD_00133	gene	207				
FJJNNHDD_00133	CDS	207				unannotated protein
FJJNNHDD_00134	gene	504				
FJJNNHDD_00134	CDS	504				unannotated protein
FJJNNHDD_00135	gene	576				
FJJNNHDD_00135	CDS	576				unannotated protein
FJJNNHDD_00136	gene	111				
FJJNNHDD_00136	CDS	111				unannotated protein
FJJNNHDD_00137	gene	270				
FJJNNHDD_00137	CDS	270				unannotated protein
FJJNNHDD_00138	gene	378				
FJJNNHDD_00138	CDS	378				unannotated protein
FJJNNHDD_00139	gene	171				
FJJNNHDD_00139	CDS	171				unannotated protein
FJJNNHDD_00140	gene	234				
FJJNNHDD_00140	CDS	234				unannotated protein
FJJNNHDD_00141	gene	309				
FJJNNHDD_00141	CDS	309				unannotated protein
FJJNNHDD_00142	gene	156				
FJJNNHDD_00142	CDS	156				unannotated protein
FJJNNHDD_00143	gene	348				
FJJNNHDD_00143	CDS	348				unannotated protein
FJJNNHDD_00144	gene	792				
FJJNNHDD_00144	CDS	792				unannotated protein
FJJNNHDD_00145	gene	708				
FJJNNHDD_00145	CDS	708				unannotated protein
FJJNNHDD_00146	gene	708				
FJJNNHDD_00146	CDS	708				unannotated protein
FJJNNHDD_00147	gene	213				
FJJNNHDD_00147	CDS	213				unannotated protein
FJJNNHDD_00148	gene	306				
FJJNNHDD_00148	CDS	306				unannotated protein
